hotel,review,title,rating,date,month,year
Sarova Stanley,5 week trip africa plan july august book trip 2019 include first 2 nights trip nairobi sarova stanley book hotel hilton property zanzibar direct buy travel direct buy travel refund policy book book september 2019 think would global pandemic 2020 disappoint decide march things uncertain unsafe would best postpone trip 2021 book hotels tour excursion plane ticket trip non refundable normal circumstances receive refund credit one airline hotel hilton property,refund covid19 cancellation,1.0,2020-07-01,7,2020
Sarova Stanley,sarova stanley hotel good location middle downtown short car ride sight nairobi national museum others comfortable hotel food good reach hotel check day earlier book make agoda reception ask cancel book agoda make fresh book cancel book go online unable make fresh book agoda reason take room night directly hotel pay credit card even though receive agodas cancellation confirmation email hotel refund agoda cancellation even though take room directly night,good value money,4.0,2020-03-01,3,2020
Sarova Stanley,experience less great 5star hotel expect nice wasnt room one set useable outlets work maintenance fix phone work maintenance fix still hardly able hear ac go room maintenance come fix room modern luxurious bad need update conference room reserve 95 day meet first day start use noon arrive noon nothing ready even though suppose ready 900 get everything ready hurry even though already several hours behind nothing sense,historic equal nice,3.0,2020-03-01,3,2020
Sarova Mara Game Camp,stay sarova mara game camp two long enough come nairobi way mombasa muchneeded break craziness city reserve large could go miles without see anything worth time take get would recommend go rainy season roads dirt get muddy get stick minutes,love every minute,5.0,2021-02-01,2,2021
Sarova Mara Game Camp,stay sarova mara camp 2 nights definitely wish would stay longer experience absolutely amaze camp beautiful oasis masai mara location excellent game drive saw lions well cheetahs less 10 min drive camp tent clean staff usually close mosquito net late afternoon make sure insects tent hence sleep well undisturbed simply truly enjoy every moment spend,amaze camp inside masai mara,5.0,2021-03-01,3,2021
Sarova Mara Game Camp,sarova mara game camp amaze feel bar din room could use update tent renovate beautiful service impeccable love middle nature tent modern bathroom downside noise construction go relax noise constant hammer intrusive annoy appreciate camp want update tent would better camp shut temporarily make update know construction go would select another camp,absolutely great stay,4.0,2021-02-01,2,2021
Sarova Mara Game Camp,really enjoy stay family tent large comfortable extremely clean grind beautifully manicure several wonderful relaxation spot also serve fresh food courteous wait staff lodge manager always present nice enough keep check us throughout stay strictly maintain covid protocols make us feel quite safe,lovely place,5.0,2020-08-01,8,2020
Sarova Mara Game Camp,wonderful stay sarova like accommodation spacious nicely decorate martin guest relation manager surprise us bonfire dinner unique romantic experience one staff members play guitar sing really surprise hotel area huge pond 50 tent hide bush food also good serve buffet come back,good service staff spacious renovate tent,5.0,2021-02-01,2,2021
Sarova Panafric,visit nairobi stray panafric hotel valley road without doubt best security guard staff host front desk servers managers everyone warm professional articulate professional make feel home go way make feel welcome great room extensive choice exquisite food location central close city center great security great place stay back take photos thank sarova hotels,great hospitality,5.0,2020-03-01,3,2020
Sarova Panafric,book thank give dinner hotel let tell im glad decide go sarova panafric executive chef avraj point inception menu delivery hand best turkey ever even american friends could stop talk stuff well cranberry sauce die pork spare rib literally fall bone oh ive never quite taste bud tickle way salads fresh crispymy favourite apple salad caramelize cashews goose berry yes goose berry nairobi much variety barely remember marshed sweet potatoes beef stroganoff mushroom chicken,thank give dinner,5.0,2020-11-01,11,2020
Sarova Panafric,visit hotel nice felix around important wed sister realy take care dint expect happen vivid season felix make us proud stay pass cafew hours us responsibility even staff felt tire always energetic cant hesitate send many time felix learn many value towards attitude keep upyou good leader keep good work hope recieved token appreciation visit soon recommend anyone plan awedding dont postpone sarova style food superb desert amazingthe chef creative come let support tourism,amaze team player,5.0,2020-09-01,9,2020
Sarova Panafric,locate less 5 minutes drive cbd panafric offer excellent servicegreat ambiance serenefood write home best business travellers family holiday r even couple honey moon amaze hotel serene environment,cool class,5.0,2020-04-01,4,2020
Sarova Panafric,give current threat covid19 reluctant travel would force overnight stay already aware counter measure put place sarova panafric still reservations arrival process throught normal security procedures addidtion temperature take barrier raise sanitize bt guard second phase security baggage scan temperature take instruct resanitize hand social distance measure enforce reception check enter room 623 clear clean hospital standards actually smelt sterile reassure indeed areas hotel,safety measure hospitality unison,5.0,2020-08-01,8,2020
Sarova Stanley,hotel lot history love read history people stay stay overnight return uk get room low rate demand low coronavirus many people travel normally 5 star hotel person prefer medium clean basic hotels preference say staff lovely fact staff make place yes hotel well locate clean lot service butit staff highlight friendly helpful kind really great virus issue pool close gym also quiet one restaurant,good quality hotel lovely staff,4.0,2020-03-01,3,2020
Sarova Stanley,stay several time insist easy get things right occasion sarova stanley really maintain standard quality hotel hard find kenya staff absolutely fantastic time every time exchange bar highest quality yes little expensive place require 1st class service clearly see extra shill go love thai food treat restaurant authentic offer complimentary head neck massage wait meal prepare security give perceive threat say security team top game chief security,maintain standard,5.0,2020-03-01,3,2020
Sarova Stanley,visit nairobi numerous time dinner stanley never stay pleasantly surprise service facilities quality cleanliness hotel general breakfast superb lounge elegant comfortable spa fitness center excellent wifi strong throughout hotel ill return,exceed expectations,5.0,2020-03-01,3,2020
Sarova Stanley,book 15 clients stanley night arrive nairobi us three room airconditioning work move 3 clients new room one didnt work either one room electricity go 3am clients shower morning darkness ask clients whos electricity go call desk say tire late arrival morning leave didnt care personally stay stanley many many time know often issue arrive air condition ask move different room might need look system overall great place staff big,first nite nairobi,4.0,2020-03-01,3,2020
Sarova Stanley,stay sarova stanley incredible first place thank amaze friendliness professionalism staff hotel classy traditional amenities think pool nice gym well equip breakfast elaborate great variety foods,staff best,5.0,2020-03-01,3,2020
Sarova Lion Hill Game Lodge,return trip lion hill husband pleasantly surprise staff members could remember us last visit year usual lodge welcome homely always special mention kitchen staff ensure special diet tasteful delightful big shout tobias robert able guidance damaris guy awesome,fantastic personalise attention,5.0,2021-02-01,2,2021
Sarova Lion Hill Game Lodge,stay sarova lion hill game lodge nothing exceptional right reception room din general environment everything par edward reception friendly inquire need anything chef tobias chef robert know whole family name second day forget sumptuous meals chefs prepare us house keep also considerate provide us towel wrap hot water bottle keep us warm chilly nights definitely come back another stay keep good job,superb game lodge,5.0,2021-02-01,2,2021
Sarova Lion Hill Game Lodge,love stay much wish could stay longer definitely go back staff warm accommodate flexible need edwin reception ensure get room like chef robert simon great meal request especially baby picky feeder highly recommend families visit nakuru look adventure relaxation thank much hope see soon,awesome family vacation,5.0,2021-02-01,2,2021
Sarova Lion Hill Game Lodge,chef robert friendly warm fred serve us well helpful mr edwin really give us real welcome really enjoy stay definitely go backreally enjoy stay room superb clean,miss,5.0,2021-02-01,2,2021
Sarova Lion Hill Game Lodge,courteous reception serene environment wild perfect lakeview variety dish restaurant expert chefs like robert tobias receptive waiters like simon damaris floor manager angela enjoy 3day stay would definitely plan revisit,valentine weekend safari,4.0,2021-02-01,2,2021
Sarova Panafric,reception impeccably special well revive front office staff lead christine muthoga irine njai kid jovial hospitable welcome kid cant get enough needle say give special discount make come back three days later thank sarova panafric thank christine irine look forward come back,doctor,5.0,2020-07-01,7,2020
Sarova Panafric,enjoy stay hotel good ambience experiencefriendly staff mention nicodemus restaurant helpful make feel home first day check inam give 5 star ratingi thank always take good care team major general kendagor,general kendagor,5.0,2020-05-01,5,2020
Sarova Panafric,stay close month last vacation kenya entire staff fantastic make vacation worth every penny special thank teresia kituku cannot thank enough sarova panafric place next vacation,place amaze place,5.0,2019-12-01,12,2019
Sarova Panafric,feb birthday fast approach idea go tradition gals figure quickly scroll contact list gal beatrice gicheha long time friend come suggest sunday brunch say pamper understatementthis team nothing amazingthe name jessemary maurinephilipjonathansteve pool nyangweso jam lift lovely bandkitchen one guy helpful silly get name recommend sarova panafric whatever reason tourismbusinesseventthey get every need cover deliver sarova family forever grateful make 33rd birthday memorable,birthday wish,5.0,2020-03-01,3,2020
Sarova Panafric,stay sarova panafric hotel multiple time vacation use almost home base come back safaris everyone absolutely amaze entire staff make us feel like return home would come back safaris walk pool side one night make comment may want come back swim drink around 5pm something come didnt go tell around 930 get bar close stay open saw us stay couple hours leave tell us keep bar open us know want come back room really nice well bed super,amaze time stay hotel,5.0,2020-01-01,1,2020
Sarova Mara Game Camp,wonderful experience enjoy every bite staff friendly accommodate superb neatness cannot chef sylvester good make special cake us order look martin assistance within campus always great stay,fantastic,5.0,2021-02-01,2,2021
Sarova Mara Game Camp,stay delux tent delightful staff professional even treat us tree plant departure interest hide surprise agriculturalist eric nzeiya run experimental shamba organic farm research,nice experience,4.0,2021-01-01,1,2021
Sarova Mara Game Camp,sarova mara breath take environment super fresh air offer excellent service clean tent good food staff hospitable give opportunity plant tree fulfil lover environment,excite experience,5.0,2021-01-01,1,2021
Sarova Mara Game Camp,stay sarova mara game camp november 2020 say amaze experience great food helpful staff comfortable charm tent stay superiorbigger tent safe term covid may important many ie measurements meet like check temperature disinfection wear mask etc really big thank guy make stay special beautiful,great hotel amaze staff tasty food super comfortable spacious tent strongly recommend,5.0,2020-11-01,11,2020
Sarova Mara Game Camp,ive amaze stay overall great food friendly staff good room highlight tulia spa massage anna best massage ive ever swedish hot stone therapy thank wonderful stay,review,5.0,2021-01-01,1,2021
Sarova Whitesands Beach Resort & Spa,get dark cold damp room farthest din area garden face entry hit foul smell could get replacement coz hotel fully book annoy,damp garden face room,4.0,2021-02-01,2,2021
Sarova Whitesands Beach Resort & Spa,visit january business rr arrival leave treat like royalty personalize welcome treat like royalty asst mgr jayne amaze make sure need attend stay even extend day atmosphere relax well clean modern room excellent food friendly staff tulia spa excellent place relax fridah one fo spa staff really good job home away home coast,january business meet,5.0,2021-01-01,1,2021
Sarova Whitesands Beach Resort & Spa,view room nice room clean beautiful breakfast buffet complete hotels restaurants dinner lunch expensive staff hospitable kind corona protocols consider hotel,beautiful hotel,5.0,2021-02-01,2,2021
Sarova Whitesands Beach Resort & Spa,frequent visitor sarova whitesands least minimum 3 time year never actually write review think good time firstly big thank agent zeno safaris always know ensure things book way like bigger thank team sarova reservations make happen covid tourism hit whitesands one biggest beach hotels mombasa truly keep business normal thats big achievement kudos management hotel checkin sarova hotels always warm care thats one hotels key pillars covid check fast quick room great get pool face ones recently renovate,top quality,4.0,2021-02-01,2,2021
Sarova Whitesands Beach Resort & Spa,amaze staff clean room good food best pool friendly helpful staff consider workrest break hotel well scenarios conference room good well,amaze place,5.0,2021-01-01,1,2021
Sarova Panafric,sarova panafric hotel nairobi super room excellent service attentive outstanding highly recommend hotel staff flexible meet need group security excellent felt safe entire time hotel,international scripture blitzthe gideons international,5.0,2020-03-01,3,2020
Sarova Panafric,stay sarova pacific feb 28 mar 7 2020 wonderful experience hotel accommodations helpfulness staff absolutely outstanding great menu restaurant breakfast buffet fantastic,kenya international scripture blitz gideons international,5.0,2020-03-01,3,2020
Sarova Panafric,impress staff eagerness accommodate group many special request staff never act put millicent restaurant helpful always pleasant,great stay,5.0,2020-03-01,3,2020
Sarova Panafric,awesome place beautifullarge meet halls pleasant customer service experience cheer thank much banns ouma service give whole heartedlycontinously check ensure wait long enough order takenbe back soon,superb service,5.0,2020-03-01,3,2020
Sarova Panafric,good service isaac muliall electrical gadgets well take care damage park cars appreciate ability feel ease concentrate purpose meet thank,security,5.0,2020-02-01,2,2020
Sarova Stanley,nice atmosphere beautiful victorian style hotel food delicious especially lamb burger honestly love decor exchange bar impress much cocktails tasty especially ernest hemingway mojito people work sarova stanley friendly helpful whenever meet someone hotel expect nice conversation delightful historical hotel walk tour cynthia tell many interest facts hotel show many wonderful paint nairobi sarova stanley history,best hotel nairobi kenya best hotel africa,5.0,2020-02-01,2,2020
Sarova Stanley,stay sarova stanley hotel number occasion kenya adventure hotel well locate staff incredibly warm friendly fill history touch nostalgia,delightful stay,5.0,2020-02-01,2,2020
Sarova Stanley,partner stay 2 nights blow away amaze service overall experience friendliness staff exceed hotels previously visit spacious comfortable room amaze buffet breakfast heat pool perfect place stay within cbd nairobi definitely stay upon next arrival,absolutely amaze,5.0,2020-02-01,2,2020
Sarova Stanley,debate choose hotel one newer 5 star westlands im glad pick stanley hotel regal feel breakfast really nice staff great also find neighborhood convenient felt comfortable walk around,nice hotel good service,4.0,2020-02-01,2,2020
Sarova Stanley,spend 2 nights hotel experience great comfort splash history food excellent good amenities people work nice help highly raccomended specially historical tour give trough hotel every day love,excellent hôtel top personelle history,5.0,2020-02-01,2,2020
Sarova Lion Hill Game Lodge,perfect gateaway sarova lion hill one hospitable place far place beautiful right reception get warm welcome glass juice valentines day package amaze room well decorate flower sundowner perfect view lake guitarist right us staff members super warm oh goodness start simon make sure need readily available chef robert damaris ensure well fedi love variety foodseveryday get something new starters main course desserts theres angela lovely lady ensure,perfect gateway wild,5.0,2021-02-01,2,2021
Sarova Lion Hill Game Lodge,good place start safari lodge locate inside park lake nakuru manage even morning game drive since everything around lodge staff safe covid regulations always wear mask remind wear one time food qualitythey grill everything choose spot way always fresh tasty pool clean heat plus amaze sauna available,5 star lodge super location,5.0,2021-02-01,2,2021
Sarova Lion Hill Game Lodge,really enjoy stay food outstanding breakfast dinner staff polite helpful game drive obviously highlight however lovely able book private complimentary sauna long day game drive sauna water wait us could stay outdoor fire pit nice touch room pleasant hotel strict covid regulations enforce staff great see,exceptional food service,5.0,2021-02-01,2,2021
Sarova Lion Hill Game Lodge,stay one night room comfortable pool warm heat food buffet lot live cook options good bar nice place post dinner beer nakuru also nice change park lot rhino shame flood add best part hour journey get hopefully water recede,lovely 1 night stay,5.0,2021-01-01,1,2021
Sarova Lion Hill Game Lodge,amaze experience sarova lion hill faru suite beautiful view lake tastefully furnish fireplace cold nights boot highlight stay warm superior level service extend staff come contact special thank restaurant staff spar detail ensure excellent stay cosmas peter angela wesley chefs robert harrison tobias francis eddy nicholas benedicta thank youwe back,amaze stay,5.0,2020-12-01,12,2020
Sarova Mara Game Camp,love club tent amaze clean beautiful view staff treat us like vip day 1 last near sekenani gate manager dancun warm also get plant tree name anne spa amaze job mohamed bar also one best food awesome fresh love,best vip experience ever,5.0,2021-01-01,1,2021
Sarova Mara Game Camp,heavy heart say farewell sarova mara continuous visit 15 years sometimes 3 time year sadly quality get worse years repeat complaints fall kn deaf ears watch quality class slip like sieve constant change lodge managers help see old replace new garden take shape renovations theres old adage dont judge book cover evennif context appropriate truly apply sarova mara yes covid hit tourism hard lodge almost peak capacity since july 2020 problems persist excuse festive period madness come one would think,sad disappoint,2.0,2021-01-01,1,2021
Sarova Mara Game Camp,lodge hospitality friendly staff serve international cuisine organic food relax enviroment sound bird everywhere cozy tent mention adventure sarova game drive make awesome experience,adventure lifetime,5.0,2020-12-01,12,2020
Sarova Mara Game Camp,arrive lunch 20th december 2020 welcome excellent food usual sarova standards a1 room clean staff extremely incredible especially children friendly environment feel like home away home basic stuff like water refill point make big difference restaurant service unmatchable information give martin animals behavior educational clever chap staff always meet friendly jambo always happy assist food wow literally stop eat finger lick good lunch usual sarova standard mention manger slightly sarova par still good lunch action take swift,unforgettable experience,5.0,2020-12-01,12,2020
Sarova Mara Game Camp,shes professional knowledgeable work dedicate good pr clients clean organize room clean well service adhere covid19 rule food need improvement bonfire good,anna,5.0,2020-12-01,12,2020
Sarova Panafric,nice room great location good food fantastic staff excellent conference facilities staff friendly helpful kind hold conference everything perfect include person make sure everything go perfectly use hotel instead hilton thank,better hilton,5.0,2020-03-01,3,2020
Sarova Panafric,din flame tree restaurant request could look rest facility since first time millicent take give detail information even convince come back ill give hotel sometime finish renovations ill back,stroll park,4.0,2020-03-01,3,2020
Sarova Panafric,professional stay sarova exceptional warm welcome receptionists without comment smile attentive make really want stay hotel also set ideal business trip family stay highly recommend sarova panafric,dream place,5.0,2020-03-01,3,2020
Sarova Panafric,although stay highlands panafric review focus principally panafric becasue stay longer however say highlands lovely new hotel dedicate professionall staff however stay panafric longer stay excellent rarely anywhere stay many hotels throughout world staff professional friendly helpful hotel undergo renovation cause inconvienencebut staff take every measure ensure comfortable room spacious modern well cater every day say staff top bottom superb dedication professionalism hotel centrally,visit two sarova hotels kenya january 2020 sarova panafric nairobi nakuru highlands,5.0,2020-01-01,1,2020
Sarova Panafric,second time stay sarova panafric welcome kind helpful service mind staff way really feel home im thank nice clean room great breakfast nice pool area new restaurant pool also great definitely come back sarova panafric see,wonderful stay yet,5.0,2020-02-01,2,2020
Sarova Stanley,lovely lunch thorntree cafe street level cafe find hotel discover elizabeth gracious host hotel offer heritage tour decide check truly impress knowledgable personal guide cynthia exceptional job explain grand hotel fit history nairobi kenya idea also opportunity view many quality facilities hotel offer would hesitation highly recommend hotel,luxury surround history,5.0,2020-02-01,2,2020
Sarova Stanley,amaze hotel really good restuarant groundfloorgreat service overallthank elisabeth great service also enjoy nice room nice swim pooland cours go memory lane remind us hotel late 1970 make worth visit 2016,perfect,5.0,2020-02-01,2,2020
Sarova Stanley,sad report home thorntree forum run disputable people one never know things might go slightly awry travel always important know treat hospitably honestly hotel stay old hotel charm thorntree legacy wish better hope dont need honesty integrity hotel staff particularly management,cautious,1.0,2019-11-01,11,2019
Sarova Stanley,hotel elegant old establishment right heart city staff friendly helpful breakfast good bite expensive pool area comfortable pleasant would like recommend place book mistake make findhotel double book last night end charge twice long story bottom line management front desk staff repeatedly lie us double book tell us double book hotel submit one charge false recommend extreme caution deal hotel,double book,1.0,2019-11-01,11,2019
Sarova Stanley,comfortable good hotel staff friendly professional theres lovely pool top deck food really good many staff mention titus reception helpful team thank,excellent hotel great staff welcome,5.0,2020-01-01,1,2020
Sarova Lion Hill Game Lodge,love short visit sarova lion hill stay 2 bedroom suite vey luxurious invite food amaze special mention peter benedict chef nicholas excellent customer service really make stay memorable one,refresh,5.0,2021-01-01,1,2021
Sarova Lion Hill Game Lodge,staff friendly professional right security team reception din guy go way ensure every detail stay take care facilities well keep clean love attention detail personalize service keep,stay awesome make holiday,5.0,2020-12-01,12,2020
Sarova Lion Hill Game Lodge,lodge right heart national park far lake lodge call agauria room smallish comfortable clean tidy staff friendly helpful grind grass area large perch fee local bird include blue starlings village weavers doves place also large swim pool restaurant great meals buffet serve kitchen staff covid19 menu variety extensive really enjoy stay lodge,excellent lodge great location,5.0,2020-09-01,9,2020
Sarova Lion Hill Game Lodge,family love stop sarova nakuru saw last big five outside hotel plenty rhinos within park resort peaceful quiet noise lake view grind make amaze time food top notch even live music dinner would definitely love go,restful gorgeous,5.0,2020-12-01,12,2020
Sarova Lion Hill Game Lodge,come pre christmas break beautiful resort score activities kid food amaze since vegetarians chef steve make amaze indian dish us breakfast lunch dinner fred us meals hospitable karan front desk helpful nicholas lodge manager lead good team sure asset sarova group landscape also nice,short break amaze resort,5.0,2020-12-01,12,2020
Sarova Whitesands Beach Resort & Spa,white sand wife daughter birthday weekend arrival welcome professionally mention get free upgrade ocean face room mercy reception front desk check us ensure get know ins first day impressive seriousness towards keep covid bay ensure staff mask time ensure fun birthday weekend katana waiter din area memorize drink wife daughter enjoy ensure come come appropriate time special recognition george ensure need room well brian samantha pool side ensure,amaze superb service,5.0,2021-01-01,1,2021
Sarova Whitesands Beach Resort & Spa,amaze fastidious staff always hand help work beyond call duty food excellent special mention jimmy timothy fatma beach bar robert derius jayne thank hand help time tinge exhaustion,amaze staff awesome stay,5.0,2021-01-01,1,2021
Sarova Whitesands Beach Resort & Spa,pick airport arrival hotel service excellent staff helpful derious faith operations manager anne come mind wide variety sumptuous food impress covid19 precautions take staff definitely recommend friends public,awesome stay,5.0,2021-01-01,1,2021
Sarova Whitesands Beach Resort & Spa,time life best end year party ever great service staff array fresh tasty food food booths season great idea esp kid flight mishap day return nairobi management staff come rescuewent extra mile small things count definitely return end year highly recommend facility,operations admin director coco jambo restaurants nrb,5.0,2020-12-01,12,2020
Sarova Whitesands Beach Resort & Spa,incredible time stay white sand resort much overjoy dance kitchen memory game conduct animator cherry michelle cherop service sterling tremendous accompany dedication tenacity gracias,sarova whitesands,4.0,2020-12-01,12,2020
Sarova Panafric,come photoshoot enjoy stay staff friendly monica beatrice vivian restaurant amaizing love love service enjoy service offer,mrs omondi,5.0,2020-02-01,2,2020
Sarova Panafric,great experience noble hotel drive joy receprion get attendants eric front desk bensonit first time promice first choise hotelthank,hotel sercice,5.0,2020-02-01,2,2020
Sarova Panafric,friendly warm welcomethe service area clean appealingerick reception benson gro give apeasing welcome joyfully render serviceit pleasure sarova,service,5.0,2020-02-01,2,2020
Sarova Panafric,come two week work relate trip really impress astonish splendid service staff provide us feel welcome always ready assist detail finesse need might occur arrange meet premise well disable person highly appreciate really make stay joy bottom heart warmly recomend hotel business pleasure table community specially enjoy lunch service team eye might need help serve assistance splendid thank,splendid service,5.0,2020-02-01,2,2020
Sarova Panafric,stay two weeks hotel conveniently locate close city centre room spacious clean bed comfortable food simply excellent however true celling point hotel kind friendly helpful attentive staff really make feel home next stay would certainly wish stay hotel,excellent stay,5.0,2020-02-01,2,2020
Sarova Mara Game Camp,stay 2 nightsvery friendly staff food excellent chef gilbert good food prepare quality tent room clean cosy nice experience,mara sarova best place stay,5.0,2020-12-01,12,2020
Sarova Mara Game Camp,stay camp 2 nights unique experience stay midst nature staff hotel courteous polite chefs good mainly gilbert helpful cater per request take good care us staff always smile greet everyone food delicious love stay camp staff make us feel home even good precautionary measure take covid situation,awesome experience,5.0,2020-12-01,12,2020
Sarova Mara Game Camp,sarova mara prove great location heart maasai mara stay 2 nights 3 safari visit room pleasant stun walk bridge excellent customer service whole team welcome helpful throughout restaurant food great variety well cook present fortunate see many great wildlife africa elephant lion buffalo giraffe zebra leopard cheetah hippopotamus gazelle crown crane eland hyena crane stork plenty topi highly recommend venue wonder previous tripadvisor accolades,safari december,5.0,2020-12-01,12,2020
Sarova Mara Game Camp,spend first three nights twoweek kenya safari sarova mara game camp great way start trip within park wildlife view game drive near lodge superb lodge restaurant bar swim pool beautiful room deluxe tent nicest room entire vacation staff extremely friendly seem know first name hot water bottle bed turn service nice touch,great game lodge great game park,5.0,2020-11-01,11,2020
Sarova Mara Game Camp,beautiful time spend family lovely place staff friendly love prime location camp place masai mara great food well also place quite affordable great rat family,awesome,5.0,2020-08-01,8,2020
Sarova Stanley,hotel gem serene business travelers locate heart city make easy access facilities mention double glaze windows make room silent staff friendly smile always happy help especially boniface customer care give us warm first impression helpful throughout stay kudos,appreciation,5.0,2020-01-01,1,2020
Sarova Stanley,regular visitor nairobi many years first time use sarova stanley overall please hotel one thing surprise little seem quite expensive place eat due business commitments every meal 3 days come away quite heft bill extras say thai chi thai restaurant hotel excellent highly recommend,nice hotel,4.0,2020-01-01,1,2020
Sarova Stanley,sarova stanley perfect hotel 2night stay nairobi wellmaintained kiddos love pool customer service truly exceptional especially enjoy benson waiter tt restaurant true gem kind hardworking earnest win smile wed stay,beautiful hotel exceptional customer service,5.0,2020-01-01,1,2020
Sarova Stanley,perfect location nice charm good friendly service excellent thai restaurant nice breakfast room large slightly date charm shower great excellent water pressure sometimes issue kenya,perfect location nice charm,4.0,2020-01-01,1,2020
Sarova Stanley,hotel beautiful sparkle clean everyone entrance make feel welcome home downside service thorn tree restaurant waiter serve bring wrong order hurry keen listen order take forever come yet restaurant less ten people hope management look issue order lower standards magnificent hotel,extremely slow service thorn tree restaurant,5.0,2020-01-01,1,2020
Sarova Lion Hill Game Lodge,3 hours drive away city good location inside park beautiful view lake game drive property love team take appropriate measure possible sars cov2 infection expect attention detail karan great job courtesy hospitality special mention angela andrew peter robert simon good food cozy bonfire night wake relax bird sing,sarova lion hill,5.0,2020-12-01,12,2020
Sarova Lion Hill Game Lodge,great lodge fantastic service excellent food staff helpful anticipate guests need wifi strong throughout property shower head super food nice good variety assist buffet contact limit,wonderful lodge,5.0,2020-12-01,12,2020
Sarova Lion Hill Game Lodge,celebrate dads birthday weekend 12th december surely go memorable one sarova lion hill room ambiancefood staff brilliant special thank karan shah helpful cooperative love take covid measure fantastic time family,family holiday,5.0,2020-12-01,12,2020
Sarova Lion Hill Game Lodge,green gem really nice place lodge nice restaurant really good lot options live music staff really nice theres even run track convenient place see animals really near lake take covid measure,love,5.0,2020-11-01,11,2020
Sarova Lion Hill Game Lodge,awesome excite moment make possible enjoyable great staff edwin fred people make feel like home surely go back place spend time,visit sarova lion hill,5.0,2020-12-01,12,2020
Sarova Mara Game Camp,return weeks safari holiday kenya stay 2 nights lodge superb experience saw much game drive without many vehicle due covid masai people look us fantastic serve dinner get drink game drive show home live would describe camp intimate leave make new friends,love everything place,5.0,2020-10-01,10,2020
Sarova Mara Game Camp,friendly staff chefs petergilbertdamaris waiters edwin nice guests receptionist sophie polite would definitely go back great timethank sarova mara camp staff please keep room wish switch power 4 pm 6 pm,mara trip,4.0,2020-11-01,11,2020
Sarova Mara Game Camp,annah awesome job make relax sweddish massage massage well friendly take process well highly recommend list tulia spa sarova mara game camp,sweddish massage,5.0,2020-11-01,11,2020
Sarova Mara Game Camp,swedish massage experience quite relaxinggreat hospitality annah highly recommend anyone cram muscle essential oil nerve awesome experience,annah,5.0,2020-11-01,11,2020
